empid,empname,dept_code,doj,salary,mobile
1001,Raju,MKT,01-01-2001,250000,9333344446
1002,Joseph,IT,02-01-2001,400000,9333344446
1003,Keethi,SALES,03-01-2001,400000,9333344446
1004,Langa,MKT,04-01-2002,400000,9333344446
1005,Mad,IT,05-01-2003,450000,9333344446
1006,Sri,SALES,06-01-2001,400000,9333344446
1007,Aru,MKT,07-01-2010,400000,9333344446
1008,Sri2,IT,08-01-2001,600000,9333344446
1009,Raza,SALES,09-01-2021,400000,9333344446
1010,Sree,MKT,10-01-2001,400000,9333344446
1011,Ranga,IT,11-01-2001,700000,9333344446
1012,Linga,SALES,12-01-2022,400000,9333344446
1013,Anita,SALES,13-01-2001,400000,9333344446
1014,Sindu,SALES,14-01-2001,800000,9333344446
1015,Zap,SALES,15-01-2001,400000,9333344446
1016,Amol,IT,16-01-2001,600000,9333344446
1017,Orange,IT,17-01-2023,400000,9333344446
1018,Salt,IT,18-01-2012,700000,9333344446
1019,Sindu,IT,19-01-2001,400000,9333344446
1020,Roshni,IT,20-01-2018,400000,9333344446
